date,borough,total_trips
2025-02-27 00:00:00,Staten Island,2
2025-02-27 00:00:00,Unknown,288
2025-02-28 00:00:00,Bronx,308
2025-02-28 00:00:00,Brooklyn,966
2025-02-28 00:00:00,EWR,2
2025-02-28 00:00:00,Manhattan,97123
2025-02-28 00:00:00,Queens,9433
2025-02-28 00:00:00,Staten Island,3
2025-02-28 00:00:00,Unknown,307
2025-03-01 00:00:00,Bronx,179
2025-03-01 00:00:00,Brooklyn,841
2025-03-01 00:00:00,EWR,2
2025-03-01 00:00:00,Manhattan,104485
2025-03-01 00:00:00,Queens,7174
2025-03-01 00:00:00,Staten Island,1
2025-03-01 00:00:00,Unknown,300
2025-03-02 00:00:00,Bronx,175
2025-03-02 00:00:00,Brooklyn,933
2025-03-02 00:00:00,EWR,8
2025-03-02 00:00:00,Manhattan,78048
2025-03-02 00:00:00,Queens,10125
2025-03-02 00:00:00,Staten Island,3
2025-03-02 00:00:00,Unknown,261
2025-03-03 00:00:00,Bronx,238
2025-03-03 00:00:00,Brooklyn,857
2025-03-03 00:00:00,EWR,6
2025-03-03 00:00:00,Manhattan,79364
2025-03-03 00:00:00,Queens,9577
2025-03-03 00:00:00,Staten Island,1
2025-03-03 00:00:00,Unknown,239
2025-03-04 00:00:00,Bronx,302
2025-03-04 00:00:00,Brooklyn,925
2025-03-04 00:00:00,EWR,4
2025-03-04 00:00:00,Manhattan,90902
2025-03-04 00:00:00,Queens,7848
2025-03-04 00:00:00,Staten Island,3
2025-03-04 00:00:00,Unknown,221
2025-03-05 00:00:00,Bronx,210
2025-03-05 00:00:00,Brooklyn,971
2025-03-05 00:00:00,EWR,1
2025-03-05 00:00:00,Manhattan,98420
2025-03-05 00:00:00,Queens,7479
2025-03-05 00:00:00,Staten Island,2
2025-03-05 00:00:00,Unknown,265
2025-03-06 00:00:00,Bronx,296
2025-03-06 00:00:00,Brooklyn,1043
2025-03-06 00:00:00,EWR,5
2025-03-06 00:00:00,Manhattan,102435
2025-03-06 00:00:00,Queens,8720
2025-03-06 00:00:00,Staten Island,2
2025-03-06 00:00:00,Unknown,278
2025-03-07 00:00:00,Bronx,263
2025-03-07 00:00:00,Brooklyn,986
2025-03-07 00:00:00,EWR,1
2025-03-07 00:00:00,Manhattan,94681
2025-03-07 00:00:00,Queens,8528
2025-03-07 00:00:00,Staten Island,4
2025-03-07 00:00:00,Unknown,270
2025-03-08 00:00:00,Bronx,177
2025-03-08 00:00:00,Brooklyn,740
2025-03-08 00:00:00,EWR,3
2025-03-08 00:00:00,Manhattan,97279
2025-03-08 00:00:00,Queens,6744
2025-03-08 00:00:00,Staten Island,2
2025-03-08 00:00:00,Unknown,306
2025-03-09 00:00:00,Bronx,145
2025-03-09 00:00:00,Brooklyn,798
2025-03-09 00:00:00,EWR,2
2025-03-09 00:00:00,Manhattan,71882
2025-03-09 00:00:00,Queens,10125
2025-03-09 00:00:00,Staten Island,2
2025-03-09 00:00:00,Unknown,194
2025-03-10 00:00:00,Bronx,271
